community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈苑,三林,三林,17,2.4,Null,498,17,30,42133,上海三林房地产开发有限公司,31.1474,121.534,{环林东路906弄},5.01E+12,0.316423527,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈湾尼盛山庄,木渎,木渎,Null,0.4,平房,841,31,30,17168,暂无信息,31.2752,120.517,{向阳路6号},2.31E+12,0.27512179,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈湾花园（昆山）,昆山,昆山,5,0,板楼,15,9,0,9398,暂无信息,31.3165,121.094,{绿地大道1339号},5.01E+12,0.165606558,,,,,,,,,,,,,,,,,5.01E+12,0.296936301,,,,,,,
棕榈湾花园,石化,石化,12,1.6,Null,873,50,50,15695,上海思致置业有限公司,30.7382,121.352,{蒙山路1266弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈滩海景城,海湾,海湾,5,1.72,板楼,1226,38,54,11762,上海同丰房地产开发有限公司,30.8274,121.542,"{金汇塘东路1799弄,"" 金汇塘东路1399弄"","" 金汇塘路388弄""}",5.01E+12,0.131397414,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈滩高尔夫别墅,海湾,海湾,8,0.25,板楼,7,7,45,17168,暂无信息,30.8262,121.534,"{海马路3499弄,"" 海马路4199弄""}",5.01E+12,0.273648718,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈滩别墅,海湾,海湾,13,0.2,Null,177,178,65,13566,上海同丰房地产开发有限公司,30.8243,121.533,{金汇塘路301弄},5.01E+12,0.462727666,,,,,,,,,,,,,,,,,,,,,,,,,
棕榈泉花园,唐镇,唐镇,13,1.2,Null,201,202,40,60107,上海西北盛唐房地产有限公司,31.2308,121.658,{龙东大道3800弄},5.01E+12,0.462787316,,,,,,,,,,,,,,,,,,,,,,,,,
宗艺花园,上海周边,上海周边,4,0,Null,3,3,0,Null,暂无信息,31.4703,121.191,{白云渡路58号},5.10E+14,Null,,,,,,,,,,,,,,,,,,,,,,,,,
宗鑫公寓,长寿路,长寿路,13,1.4,Null,261,3,35,61442,上海宗鑫房地产开发有限公司,31.2496,121.456,{安远路16弄},5.01E+12,0.462760171,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路99弄,新天地,新天地,76,0,Null,2,11,0,Null,暂无信息,31.2256,121.486,{自忠路99弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路93弄,新天地,新天地,Null,35,Null,1,2,15,Null,奇偶科技化工行业,31.2256,121.486,{自忠路93弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路60弄,新天地,新天地,35,0,Null,4,3,0,Null,暂无信息,31.2261,121.487,{自忠路60弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路450号,新天地,新天地,Null,20,Null,1,2,25,92104,上海市城市建设投资开发总公司,31.2238,121.478,{自忠路450号},5.01E+12,0.282275762,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路448号,新天地,新天地,81,0,Null,1,2,0,Null,暂无信息,31.2238,121.478,{自忠路448号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路444号,新天地,新天地,Null,0,Null,2,2,0,Null,暂无信息,31.2238,121.479,{自忠路444号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路442号,新天地,新天地,Null,1,Null,3,2,10,Null,上海建房,31.2239,121.479,{自忠路442号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路440号,新天地,新天地,Null,0.2,Null,3,2,30,Null,建国路街道,31.2239,121.479,{自忠路440号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路438号,新天地,新天地,Null,0,Null,1,2,0,Null,暂无信息,31.2239,121.479,{自忠路438号},5.10E+14,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路436号,新天地,新天地,Null,0,Null,5,2,0,Null,暂无信息,31.2239,121.479,{自忠路436号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路434号,新天地,新天地,Null,0,Null,1,2,0,Null,暂无信息,31.2239,121.479,{自忠路434号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路422号,新天地,新天地,Null,0,Null,2,2,0,Null,暂无信息,31.224,121.479,{自忠路422号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路420号,新天地,新天地,Null,2.5,Null,4,2,25,123658,上海建工,31.224,121.479,{自忠路420号},5.01E+12,0.282282397,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路37弄,新天地,新天地,86,0,Null,3,4,0,Null,暂无信息,31.226,121.487,{自忠路37弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路373号,新天地,新天地,86,50,Null,2,2,35,Null,上市房产,31.2239,121.48,{自忠路373号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路369号,新天地,新天地,35,15,,1,2,8,Null,暂无信息,31.224,121.48,{自忠路369号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路361号,新天地,新天地,Null,0,Null,3,2,0,Null,暂无信息,31.224,121.48,{自忠路361号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路359号,新天地,新天地,35,5,Null,2,2,10,Null,国家,31.224,121.48,{自忠路359号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路357号,新天地,新天地,36,0.5,Null,5,2,30,Null,建国路街道,31.224,121.481,{自忠路357号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路349号,新天地,新天地,Null,12,Null,2,2,44,Null,上海建房,31.2241,121.481,{自忠路349号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路347号,新天地,新天地,86,1,Null,2,2,10,Null,国家,31.2241,121.481,{自忠路347号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路214弄,新天地,新天地,Null,0,Null,1,2,0,Null,暂无信息,31.2236,121.479,{自忠路214弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路16号,新天地,新天地,Null,0,Null,1,2,0,Null,暂无信息,31.2264,121.488,{自忠路16号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自忠路109号,新天地,新天地,33,2,Null,1,2,20,Null,暂无信息,31.2255,121.486,{自忠路109号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自在里,南京西路,南京西路,16,0,Null,12,6,0,Null,暂无信息,31.2376,121.459,{陕西北路493弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
自由新邸,塘桥,塘桥,20,0,Null,2,3,0,36436,暂无信息,31.2153,121.538,{杨高南路55弄},5.01E+12,0.441700073,,,,,,,,,,,,,,,,,,,,,,,,,
自由公寓,衡山路,衡山路,68,1.6,Null,30,2,35,99031,徐汇城建,31.2187,121.45,{五原路258号},5.01E+12,0.223485846,,,,,,,,,,,,,,,,,,,,,,,,,
自然居家园,顾村,顾村,6,1.54,Null,920,58,35,35243,上海宝坤置业有限公司,31.3602,121.415,{水产西路999弄},5.01E+12,0.338216501,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹苑（奉贤）,西渡,西渡,18,0,Null,239,25,0,19609,暂无信息,30.9978,121.446,{紫竹苑},5.01E+12,0.282307096,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹苑,老闵行,老闵行,14,2.9,Null,146,15,35,28532,上海闵行房地（集团）有限公司,31.013,121.434,{江川东路839弄},5.01E+12,0.251837782,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹雅苑,外高桥,外高桥,3,40,Null,837,20,35,32465,暂无信息,31.3566,121.573,"{草高支路1050弄,草高支路1118弄}",5.01E+12,0.21183865,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹轩,北蔡,北蔡,16,1.2,Null,313,30,35,50319,上海建工集团,31.1914,121.557,"{莲园路150弄,莲园路180弄}",5.01E+12,0.326802383,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹馨苑,世博,世博,14,1.54,Null,312,24,35,59527,黄浦区住宅发展局、上海紫竹置业发展有限公司,31.186,121.521,{南码头路1378弄},5.01E+12,0.330868644,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹小区,北新泾,北新泾,22,1.4,Null,1308,67,15,49884,上海建工,31.2203,121.376,"{剑河路404弄,剑河路408弄,剑河路414弄}",5.01E+12,0.246223822,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹科学园,吴泾,吴泾,5,0,Null,12,3,0,Null,暂无信息,31.0304,121.465,{紫海路88号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹华庭,世博,世博,13,0,Null,318,11,0,61695,上海紫竹置业(集团)有限公司,31.1828,121.517,{昌里东路333弄},5.01E+12,0.25336664,,,,,,,,,,,,,,,,,,,,,,,,,
紫竹半岛,吴泾,吴泾,3,1.21,板楼,937,26,50,46468,上海紫江地产有限公司,31.0342,121.475,{东川路333弄},5.01E+12,0.505779008,,,,,,,,,,,,,,,,,,,,,,,,,
紫云苑,虹桥,虹桥,11,2.8,Null,132,8,0,Null,暂无信息,31.2129,121.411,"{紫云西路50弄,"" 紫云西路89弄""}",5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫云小区,中山公园,中山公园,50,1,Null,799,33,20,56889,暂无信息,31.2158,121.417,{天山路1761弄},5.01E+12,0.462796272,,,,,,,,,,,,,,,,,,,,,,,,,
紫云西路20号,虹桥,虹桥,Null,0,Null,1,2,0,40866,暂无信息,31.2128,121.412,{紫云西路20号},5.01E+12,0.282275541,,,,,,,,,,,,,,,,,,,,,,,,,
紫云路800号,虹桥,虹桥,Null,0,Null,2,2,0,Null,暂无信息,31.2125,121.413,{紫云路800号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫云路61号,虹桥,虹桥,49,1.5,Null,49,2,1,37604,华东纺织工学院(今东华大学)、市医药设计院等单位,31.2121,121.415,{紫云路61号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫云路53号,虹桥,虹桥,33,0,Null,46,2,0,Null,暂无信息,31.2121,121.415,{紫云路53号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫云路1974弄,虹桥,虹桥,32,0,Null,1,2,0,Null,暂无信息,31.2144,121.416,{紫云路1974弄},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫云大厦,虹桥,虹桥,20,2,Null,145,2,20,48731,上海新长宁（集团）有限公司,31.2124,121.417,{中山西路800弄55号},5.01E+12,0.276083452,,,,,,,,,,,,,,,,,,,,,,,,,
紫苑小区,奉城,奉城,34,1.5,板楼,1535,152,40,8352,上海浦城房地产有限公司,30.9083,121.623,{紫苑小区},5.01E+12,0.263536096,,,,,,,,,,,,,,,,,,,,,,,,,
紫苑大厦,建国西路,建国西路,18,3,Null,57,2,35,50528,上海紫苑管理有限公司,31.2098,121.468,{肇嘉浜路268号},5.01E+12,0.305929721,,,,,,,,,,,,,,,,,,,,,,,,,
紫元大厦,徐家汇,徐家汇,17,0.8,Null,110,2,30,47436,上海紫元房地产有限公司,31.2015,121.438,{广元西路333号},5.01E+12,0.302907506,,,,,,,,,,,,,,,,,,,,,,,,,
紫宇大楼,蓬莱公园,蓬莱公园,Null,2.5,Null,8,2,30,42448,暂无信息,31.2163,121.489,{制造局路27号},5.01E+12,0.454881326,,,,,,,,,,,,,,,,,,,,,,,,,
紫逸佳苑,高境,高境,10,0,Null,117,3,0,49166,上海紫逸房地产有限公司,31.3176,121.493,{三门路649弄},5.01E+12,0.480172549,,,,,,,,,,,,,,,,,,,,,,,,,
紫益小区,华漕,华漕,32,1.8,Null,152,7,35,18196,暂无信息,31.2115,121.305,{北翟路5103弄},5.01E+12,0.244499764,,,,,,,,,,,,,,,,,,,,,,,,,
紫叶花园,北蔡,北蔡,21,1.79,Null,2061,164,30,52006,上海建工集团,31.1896,121.558,"{紫叶路115弄,紫叶路65弄,紫叶路140弄,紫叶路115弄,紫叶路127弄,紫叶路51弄,紫叶路140弄,紫叶路147弄,紫叶路101弄,紫叶路81弄,紫叶路191弄,紫叶路192弄,紫叶路276弄,紫叶路152弄,紫叶路128弄,紫叶路116弄,紫叶路100弄,紫叶路80弄,紫叶路66弄,紫叶路50弄,紫叶路251弄}",5.01E+12,0.272166842,,,,,,,,,,,,,,,,,,,,,,,,,
紫叶东园,北蔡,北蔡,18,0,Null,355,32,0,42023,暂无信息,31.1892,121.559,"{北中路10弄,莲安西路108弄}",5.01E+12,0.273898638,,,,,,,,,,,,,,,,,,,,,,,,,
紫阳路92号,徐家汇,徐家汇,30,0,Null,18,2,0,68004,暂无信息,31.1971,121.442,{紫阳路92号},5.01E+12,0.282262609,,,,,,,,,,,,,,,,,,,,,,,,,
紫阳路90号,徐家汇,徐家汇,29,1.2,Null,25,2,20,68004,暂无信息,31.1971,121.442,{紫阳路90号},5.01E+12,-0.0059679,,,,,,,,,,,,,,,,,,,,,,,,,
紫阳花苑,华泾,华泾,20,2.2,Null,2224,134,40,35318,上海徐汇区城市建设投资开发有限公司,31.1201,121.461,"{龙吟路452弄,龙吟路455弄,龙吟路500弄,龙吟路501弄}",5.01E+12,0.351112171,,,,,,,,,,,,,,,,,,,,,,,,,
紫勋雍邸,淮海中路,淮海中路,10,3.6,Null,93,4,35,107878,上海紫勋雍邸置业有限公司,31.2287,121.472,{巨鹿路153弄1-3号},5.01E+12,0.044218425,,,,,,,,,,,,,,,,,,,,,,,,,
紫勋风雅苑,新华路,新华路,6,2.3,Null,296,12,35,70956,上海紫勋房地产开发有限公司,31.205,121.425,{长顺路36弄},5.01E+12,0.461987777,,,,,,,,,,,,,,,,,,,,,,,,,
紫欣公寓,莘庄,莘庄,17,1.5,Null,486,13,40,48701,上海紫都置业发展有限公司,31.1191,121.391,{碧秀路98弄},5.01E+12,0.282279446,,,,,,,,,,,,,,,,,,,,,,,,,
紫祥小区,不夜城,不夜城,37,2,Null,565,31,35,52055,上海德尚房地产开发有限公司,31.2634,121.469,"{共和新路802弄,芷江西路220弄}",5.01E+12,0.419044677,,,,,,,,,,,,,,,,,,,,,,,,,
紫霞路168号,黄浦滨江,黄浦滨江,Null,0,Null,2,2,0,Null,暂无信息,31.2241,121.507,{紫霞路168号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫霞路108号,黄浦滨江,黄浦滨江,28,0,Null,1,2,0,Null,暂无信息,31.2239,121.508,{紫霞路108号},5.01E+12,Null,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇苑,金汇,金汇,Null,1.8,板楼,92,9,39,44779,暂无信息,31.1861,121.384,{红松路81弄153支弄},5.01E+12,0.282254794,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇园,康健,康健,25,3.6,Null,992,23,50,62480,中房物业,31.1579,121.416,{桂平路123弄},5.01E+12,0.462788175,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇新村,华漕,华漕,22,1.2,Null,1198,105,31,31366,上海五心房地产有限公司,31.2092,121.303,"{北翟路5120弄,紫薇新村}",5.01E+12,0.431841111,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇茗庭,泗泾,泗泾,Null,0,Null,1991,18,0,16952,暂无信息,31.0986,121.253,{王家厍路55弄},5.01E+12,0.148332297,,,,,,,,,,,,,,,,,,,,,,,,,
紫薇景苑,张江,张江,9,3,Null,103,7,38,43001,绿地集团,31.2072,121.618,{建中路235弄},5.01E+12,0.183518273,,,,,,,,,,,,,,,,,,,,,,,,,
